iter	Passed	Remaining
626	1200	714
627	1200	711
628	1201	708
629	1202	705
630	1202	703
631	1202	700
632	1203	697
633	1203	694
634	1203	692
635	1204	689
636	1205	686
637	1205	684
638	1206	681
639	1206	678
640	1221	684
641	1222	681
642	1222	678
643	1223	676
644	1223	673
645	1224	670
646	1233	673
647	1236	671
648	1237	669
649	1239	667
650	1240	664
651	1240	662
652	1241	659
653	1255	664
654	1255	661
655	1256	658
656	1257	656
657	1257	653
658	1257	650
659	1270	654
660	1270	651
661	1270	648
662	1271	646
663	1271	643
664	1272	640
665	1272	638
666	1273	635
667	1273	632
668	1273	630
669	1274	627
670	1285	630
671	1285	627
672	1286	625
673	1286	622
674	1288	620
675	1288	617
676	1289	615
677	1289	612
678	1290	609
679	1299	611
680	1300	609
681	1301	606
682	1301	604
683	1302	601
684	1303	599
685	1304	596
686	1305	594
687	1307	592
688	1315	593
689	1316	591
690	1316	588
691	1317	586
692	1317	583
693	1318	581
694	1318	578
695	1319	576
696	1320	573
697	1322	572
698	1322	569
699	1327	568
700	1327	566
701	1330	564
702	1332	562
703	1332	560
704	1333	557
705	1333	555
706	1334	552
707	1334	550
708	1334	547
709	1335	545
710	1335	542
711	1336	540
712	1336	538
713	1336	535
714	1337	533
715	1337	530
716	1338	528
717	1338	525
718	1338	523
719	1339	520
720	1339	518
721	1352	520
722	1353	518
723	1353	515
724	1353	513
725	1354	511
726	1354	508
727	1355	506
728	1355	503
729	1359	503
730	1362	501
731	1372	502
732	1372	500
733	1373	497
734	1373	495
735	1374	492
736	1374	490
737	1375	488
738	1375	485
739	1376	483
740	1378	481
741	1391	483
742	1391	481
743	1392	478
744	1392	476
745	1392	474
746	1393	471
747	1393	469
748	1393	467
749	1394	464
750	1398	463
751	1399	461
752	1399	459
753	1411	460
754	1419	460
755	1420	458
756	1428	458
757	1428	456
758	1429	453
759	1430	451
760	1432	449
761	1447	452
762	1447	449
763	1448	447
764	1448	445
765	1449	442
766	1449	440
767	1450	438
768	1450	435
769	1450	433
770	1451	431
771	1451	428
772	1452	426
773	1452	424
774	1464	425
775	1464	422
776	1465	420
777	1496	426
778	1498	425
779	1510	426
780	1511	423
781	1511	421
782	1511	419
783	1512	416
784	1512	414
785	1513	411
786	1513	409
787	1513	407
788	1514	404
789	1514	402
790	1514	400
791	1515	397
792	1526	398
793	1528	396
794	1528	394
795	1529	391
796	1529	389
797	1529	387
798	1530	384
799	1530	382
800	1542	383
801	1544	381
802	1544	379
803	1545	376
804	1545	374
805	1546	372
806	1546	369
807	1547	367
808	1547	365
809	1548	363
810	1550	361
811	1550	359
812	1551	356
813	1552	354
814	1554	352
815	1555	350
816	1560	349
817	1560	347
818	1561	345
819	1561	342
820	1561	340
821	1562	338
822	1562	336
823	1563	333
824	1563	331
825	1563	329
826	1565	327
827	1566	325
828	1575	324
829	1578	323
830	1578	321
831	1579	318
832	1579	316
833	1579	314
834	1580	312
835	1580	310
836	1581	307
837	1581	305
838	1581	303
839	1582	301
840	1582	299
841	1583	297
842	1583	294
843	1583	292
844	1584	290
845	1591	289
846	1597	288
847	1598	286
848	1598	284
849	1599	282
850	1599	280
851	1600	277
852	1604	276
853	1604	274
854	1605	272
855	1616	271
856	1617	269
857	1618	267
858	1618	265
859	1619	263
860	1619	261
861	1620	259
862	1620	257
863	1621	255
864	1625	253
865	1626	251
866	1626	249
867	1627	247
868	1639	247
869	1640	245
870	1641	243
871	1643	241
872	1644	239
873	1644	237
874	1645	235
875	1645	232
876	1646	230
877	1658	230
878	1659	228
879	1659	226
880	1660	224
881	1660	222
882	1661	220
883	1661	218
884	1662	216
885	1664	214
886	1665	212
887	1666	210
888	1666	208
889	1667	206
890	1679	205
891	1680	203
892	1680	201
893	1681	199
894	1684	197
895	1685	195
896	1685	193
897	1686	191
898	1687	189
899	1692	188
900	1692	185
901	1701	184
902	1702	182
903	1702	180
904	1702	178
905	1703	176
906	1703	174
907	1704	172
908	1722	172
909	1723	170
910	1723	168
911	1724	166
912	1724	164
913	1725	162
914	1725	160
915	1726	158
916	1734	157
917	1735	155
918	1735	153
919	1736	151
920	1749	150
921	1749	148
922	1750	146
923	1750	144
924	1751	141
925	1751	139
926	1756	138
927	1759	136
928	1760	134
929	1760	132
930	1761	130
931	1761	128
932	1776	127
933	1776	125
934	1777	123
935	1778	121
936	1778	119
937	1778	117
938	1780	115
939	1781	113
940	1784	111
941	1789	110
942	1790	108
943	1791	106
944	1791	104
945	1791	102
946	1792	100
947	1792	98
948	1793	96
949	1793	94
950	1794	92
951	1794	90
952	1795	88
953	1795	86
954	1796	84
955	1796	82
956	1803	81
957	1803	79
958	1804	77
959	1805	75
960	1805	73
961	1806	71
962	1806	69
963	1807	67
964	1807	65
965	1807	63
966	1808	61
967	1808	59
968	1809	57
969	1809	55
970	1809	54
971	1810	52
972	1810	50
973	1811	48
974	1811	46
975	1811	44
976	1812	42
977	1812	40
978	1812	38
979	1813	37
980	1813	35
981	1821	33
982	1828	31
983	1828	29
984	1828	27
985	1829	25
986	1829	24
987	1830	22
988	1844	20
989	1850	18
990	1854	16
991	1855	14
992	1875	13
993	1878	11
994	1879	9
995	1883	7
996	1886	5
997	1890	3
998	1893	1
999	1906	0
