iter	RMSE
166	2.936917154
167	2.93478692
168	2.928523701
169	2.923863225
170	2.91949641
171	2.914052384
172	2.910254939
173	2.906545683
174	2.903749447
175	2.898610999
176	2.894159979
177	2.891819052
178	2.889403955
179	2.886200833
180	2.883556423
181	2.879029136
182	2.875296514
183	2.872799919
184	2.867886546
185	2.863205983
186	2.859390629
187	2.855028176
188	2.852972307
189	2.850413552
190	2.847686569
191	2.845611717
192	2.843631788
193	2.839883933
194	2.837859144
195	2.834831467
196	2.83038371
197	2.828561125
198	2.824963242
199	2.823211126
200	2.821170403
201	2.817240491
202	2.816075556
203	2.813119825
204	2.811494145
205	2.807944208
206	2.806285713
207	2.804143181
208	2.800403003
209	2.799310492
210	2.796860044
211	2.795137748
212	2.792971813
213	2.791998277
214	2.790121458
215	2.7882407
216	2.785565765
217	2.783873168
218	2.781315634
219	2.780564899
220	2.778756389
221	2.776544986
222	2.774016167
223	2.770939281
224	2.76726316
225	2.764395939
226	2.762639632
227	2.760091004
228	2.757391872
229	2.755775396
230	2.753362727
231	2.749448382
232	2.745721888
233	2.742279199
234	2.739991185
235	2.736856526
236	2.734474051
237	2.73240666
238	2.730119504
239	2.729382989
240	2.727606821
241	2.724878437
242	2.724246427
243	2.721108437
244	2.718951937
245	2.717312769
246	2.713933519
247	2.71307011
248	2.712415048
249	2.711550282
250	2.71019045
251	2.708258302
252	2.707540698
253	2.705261135
254	2.703337383
255	2.700194448
256	2.698200194
257	2.695943332
258	2.693634881
259	2.691789167
260	2.689469467
261	2.687350033
262	2.685645691
263	2.683431843
264	2.682420943
265	2.681153947
266	2.680078368
267	2.677739208
268	2.676574956
269	2.674528057
270	2.672311838
271	2.669983596
272	2.667513777
273	2.666523667
274	2.665826471
275	2.663788368
276	2.662948993
277	2.66232285
278	2.660083628
279	2.658948745
280	2.656634071
281	2.655557916
282	2.65527974
283	2.653668801
284	2.650914854
285	2.649355879
286	2.64785239
287	2.64629943
288	2.644464383
289	2.641895885
290	2.639787035
291	2.639364437
292	2.638168935
293	2.636753107
294	2.634771032
295	2.634231941
296	2.631960095
297	2.62942649
298	2.627563437
299	2.625360376
300	2.624448874
301	2.623657141
302	2.621875764
303	2.619753589
304	2.618249471
305	2.616893093
306	2.615934128
307	2.614308874
308	2.613029879
309	2.611962413
310	2.610644157
311	2.610229711
312	2.608851489
313	2.606717756
314	2.605918104
315	2.60363233
316	2.601440594
317	2.600895427
318	2.600594632
319	2.598777025
320	2.597601218
321	2.59727769
322	2.594935537
323	2.593867122
324	2.592285818
325	2.591004909
326	2.590186626
327	2.589081496
328	2.588084474
329	2.586531646
330	2.58325144
331	2.581503836
332	2.579638315
333	2.578469778
334	2.575932218
335	2.574421525
336	2.572936702
337	2.570510572
338	2.569166213
339	2.56744312
340	2.566370347
341	2.56518692
342	2.563654821
343	2.562024191
344	2.560531896
345	2.559731597
346	2.556665181
347	2.555646688
348	2.553098587
349	2.551267882
350	2.549048981
351	2.546770187
352	2.545520804
353	2.543929864
354	2.54313078
355	2.541845176
356	2.540200224
357	2.539536059
358	2.537710361
359	2.536424615
360	2.535401771
361	2.533622248
362	2.53293658
363	2.531797823
364	2.531060439
365	2.530482034
366	2.529940922
367	2.528438234
368	2.525937566
369	2.524671784
370	2.523073116
371	2.520927159
372	2.519636234
373	2.517564983
374	2.515914708
375	2.51498498
376	2.513901677
377	2.513018985
378	2.511333753
379	2.511051414
380	2.50926006
381	2.507561819
382	2.505763413
383	2.504005726
384	2.502960233
385	2.501260688
386	2.499814711
387	2.498993721
388	2.497367651
389	2.495874397
390	2.495047169
391	2.494173868
392	2.492765568
393	2.490740024
394	2.487984122
395	2.486728226
396	2.483672485
397	2.483279341
398	2.481054767
399	2.479335933
400	2.477113814
401	2.476234952
402	2.474523785
403	2.472807816
404	2.471412504
405	2.470586867
406	2.469962922
407	2.467948895
408	2.464971515
409	2.463056803
410	2.461862559
411	2.460171372
412	2.458199221
413	2.45694531
414	2.455683317
415	2.455033197
416	2.453646098
417	2.452038867
418	2.45042949
419	2.449245009
420	2.448922638
421	2.446540091
422	2.445355984
423	2.444101696
424	2.442622156
425	2.442226564
426	2.440698613
427	2.440421551
428	2.439169577
429	2.438100353
430	2.436163634
431	2.435018904
432	2.433913255
433	2.432806863
434	2.431583305
435	2.429954179
436	2.429013459
437	2.427336016
438	2.426483605
439	2.425595795
440	2.424066247
441	2.422027502
442	2.419725509
443	2.418794296
444	2.418069494
445	2.415934248
446	2.414531335
447	2.412046436
448	2.410988429
449	2.410096095
450	2.408659268
451	2.408086703
452	2.406793427
453	2.40562464
454	2.404675391
455	2.403333071
456	2.402353462
457	2.400724489
458	2.398930882
459	2.397322886
460	2.394807248
461	2.393012155
462	2.391652508
463	2.390720217
464	2.388864737
465	2.387785195
466	2.386138214
467	2.383576189
468	2.382484694
469	2.381070025
470	2.379237169
471	2.377428218
472	2.375883069
473	2.375194771
474	2.373013123
475	2.370181339
476	2.369012171
477	2.367345403
478	2.365988573
479	2.364035083
480	2.362435313
481	2.359811978
482	2.357972735
483	2.356526135
484	2.354798035
485	2.35258287
486	2.351812075
487	2.350529287
488	2.34975634
489	2.348578838
490	2.347224168
491	2.346013197
492	2.345163665
493	2.343967058
494	2.341074248
495	2.33988276
496	2.338175683
497	2.337045707
498	2.334884526
499	2.334074269
500	2.332893775
501	2.332244504
502	2.331642381
503	2.330652377
504	2.329557156
505	2.328199845
506	2.326502532
507	2.324237047
508	2.322723405
509	2.32167124
510	2.320496127
511	2.319210235
512	2.317452077
513	2.316338009
514	2.315975735
515	2.314501775
516	2.313635709
517	2.312445695
518	2.311538146
519	2.310209967
520	2.308296187
521	2.306708546
522	2.305784098
523	2.304607383
524	2.304002174
525	2.303363752
526	2.30254612
527	2.301666746
528	2.300414772
529	2.298137717
530	2.296701158
531	2.296162212
532	2.293917342
533	2.293089258
534	2.291842196
535	2.291494473
536	2.290340115
537	2.287338004
538	2.286661858
539	2.285749497
540	2.284242915
541	2.282880191
542	2.28164442
543	2.280989958
544	2.279667215
545	2.278608466
546	2.277167461
547	2.276488645
548	2.274876544
549	2.273729196
550	2.273353394
551	2.271617305
552	2.270370033
553	2.269866534
554	2.269041635
555	2.266610069
556	2.265456485
557	2.264549422
558	2.262972884
559	2.261625296
560	2.261468355
561	2.260382602
562	2.25947211
563	2.258223601
564	2.257368501
565	2.256244109
566	2.255630629
567	2.254944874
568	2.253146912
569	2.251129008
570	2.250098899
571	2.249031097
572	2.246967013
573	2.246611512
574	2.244876704
575	2.242709843
576	2.241319019
577	2.239801106
578	2.238175031
579	2.237584475
580	2.235939914
581	2.235799268
582	2.235656134
583	2.234029689
584	2.232521569
585	2.230938546
586	2.229714859
587	2.228541709
588	2.228415305
589	2.226908554
590	2.22562129
591	2.225292332
592	2.224972356
593	2.223349347
594	2.221618656
595	2.221508907
596	2.221249027
597	2.219968621
598	2.219387293
599	2.219274761
600	2.218896833
601	2.217317174
602	2.217143996
603	2.215616156
604	2.215494184
605	2.213607414
606	2.212676494
607	2.211905517
608	2.211052351
609	2.210844261
610	2.210727573
611	2.210172292
612	2.209826358
613	2.208776803
614	2.206845228
615	2.2055466
616	2.20513523
617	2.203618169
618	2.203372106
619	2.203147226
620	2.202920298
621	2.202697387
622	2.200577312
623	2.199172739
624	2.198864015
625	2.197971982
626	2.196222942
627	2.194946993
628	2.194670729
629	2.193722895
630	2.193610165
631	2.19241916
632	2.191959139
633	2.191266261
634	2.190751437
635	2.188750431
636	2.186682249
637	2.185908086
638	2.183970665
639	2.181729949
640	2.181617796
641	2.180231244
642	2.17792158
643	2.175737854
644	2.174118262
645	2.173735394
646	2.172360248
647	2.172004685
648	2.171706536
649	2.171477143
650	2.170677364
651	2.1704716
652	2.168974372
653	2.167785804
654	2.166392271
655	2.166187428
656	2.16394059
657	2.16191443
658	2.161182777
659	2.160786389
660	2.159431744
661	2.158331762
662	2.156678038
663	2.156281329
664	2.154365892
665	2.154166843
666	2.152075298
667	2.150736352
668	2.149467151
669	2.147435246
670	2.147156262
671	2.145916759
672	2.144465686
673	2.144048947
674	2.142560201
675	2.140535314
676	2.140340763
677	2.138822234
678	2.137799009
679	2.136775323
680	2.134846165
681	2.133522233
682	2.13280339
683	2.132404425
684	2.131990583
685	2.130390227
686	2.128925951
687	2.127780112
688	2.125490941
689	2.124293987
690	2.123166239
691	2.121041984
692	2.119882498
693	2.117833149
694	2.117005372
695	2.114866652
696	2.114663166
697	2.114572212
698	2.114210703
699	2.113099124
700	2.112152751
701	2.111152775
702	2.109338439
703	2.108103596
704	2.106616565
705	2.105489633
706	2.104927614
707	2.104229159
708	2.104040852
709	2.102674641
710	2.101595167
711	2.099714187
712	2.098285288
713	2.097230368
714	2.095468749
715	2.094469089
716	2.093266804
717	2.092097705
718	2.090076783
719	2.087944468
720	2.087109392
721	2.08493597
722	2.082787693
723	2.08069287
724	2.079523924
725	2.078278776
726	2.076116819
727	2.075000573
728	2.073621253
729	2.071563496
730	2.069415779
731	2.067655145
732	2.066409979
733	2.065668892
734	2.064836429
735	2.063439759
736	2.061390887
737	2.060397313
738	2.059336867
739	2.058011902
740	2.056851065
741	2.055778104
742	2.053797022
743	2.0520156
744	2.050296347
745	2.049243393
746	2.048276143
747	2.047455469
748	2.045867526
749	2.044837448
750	2.043201651
751	2.042313822
752	2.040609122
753	2.038553069
754	2.037350899
755	2.036548743
756	2.035058669
757	2.033817406
758	2.032560387
759	2.030963463
760	2.030250785
761	2.028720044
762	2.027345986
763	2.026158842
764	2.023771024
765	2.022154022
766	2.020277158
767	2.019609284
768	2.018424716
769	2.016614074
770	2.015453889
771	2.013900726
772	2.012763946
773	2.011524005
774	2.010422474
775	2.009291565
776	2.008054387
777	2.007413508
778	2.006375305
779	2.005400677
780	2.003921428
781	2.003114569
782	2.001811171
783	2.000304245
784	1.999217944
785	1.998036138
786	1.9968925
787	1.995576934
788	1.994253695
789	1.992891436
790	1.991792594
791	1.989643631
792	1.988183427
793	1.986568381
794	1.985553588
795	1.984798412
796	1.982959625
797	1.98178266
798	1.980324318
799	1.979054842
800	1.978124498
801	1.977150444
802	1.975845037
803	1.974345892
804	1.973750794
805	1.972727412
806	1.971939817
807	1.970647509
808	1.968803849
809	1.967670305
810	1.96623922
811	1.964364816
812	1.963882625
813	1.962740506
814	1.961855211
815	1.960686718
816	1.959550707
817	1.958509873
818	1.957638719
819	1.956895216
820	1.955268985
821	1.954161301
822	1.952913864
823	1.951613067
824	1.950529344
825	1.949279418
826	1.948504741
827	1.947453861
828	1.946465822
829	1.945519943
830	1.944737211
831	1.94348345
832	1.942401801
833	1.941345897
834	1.940238584
835	1.93929721
836	1.937862069
837	1.936635093
838	1.935620327
839	1.934258533
840	1.93344658
841	1.932724762
842	1.93178944
843	1.931113492
844	1.930432178
845	1.929226623
846	1.927862946
847	1.926788107
848	1.925511846
849	1.924462704
850	1.923826399
851	1.922578968
852	1.921866596
853	1.920953366
854	1.920130315
855	1.919156
856	1.91823064
857	1.917320335
858	1.916927147
859	1.915706543
860	1.914771057
861	1.91385776
862	1.913118113
863	1.912163357
864	1.910927804
865	1.909678317
866	1.908629328
867	1.907392808
868	1.906106654
869	1.904447841
870	1.903877383
871	1.902811591
872	1.90199051
873	1.901261818
874	1.900598392
875	1.899889211
876	1.898022921
877	1.897204695
878	1.896490596
879	1.895780583
880	1.894571625
881	1.893727516
882	1.892558195
883	1.89153309
884	1.890845868
885	1.889523008
886	1.88888507
887	1.887740165
888	1.886602608
889	1.886332788
890	1.88522105
891	1.884388001
892	1.883187518
893	1.88201077
894	1.880980317
895	1.880086586
896	1.879186729
897	1.878557924
898	1.87768791
899	1.877154023
900	1.876429483
901	1.875390406
902	1.874184728
903	1.873228305
904	1.872334313
905	1.871641437
906	1.87038461
907	1.869622173
908	1.867735489
909	1.866947878
910	1.865728251
911	1.864169545
912	1.86358344
913	1.862940618
914	1.862120197
915	1.861214019
916	1.859713762
917	1.858254929
918	1.857313805
919	1.856928834
920	1.855160083
921	1.854104154
922	1.853464895
923	1.852828708
924	1.851548292
925	1.85019388
926	1.849002447
927	1.848651011
928	1.847174073
929	1.846102739
930	1.845635306
931	1.844902563
932	1.844318979
933	1.843873458
934	1.843379451
935	1.842945313
936	1.842156673
937	1.841285847
938	1.839978274
939	1.838826746
940	1.838518756
941	1.837524624
942	1.836462334
943	1.83574983
944	1.835332925
945	1.83515472
946	1.833945272
947	1.833393286
948	1.83234798
949	1.830864628
950	1.829753524
951	1.828889228
952	1.827914106
953	1.826832505
954	1.82618114
955	1.824630201
956	1.824095684
957	1.823002434
958	1.822463718
959	1.821894039
960	1.820787599
961	1.820152905
962	1.818834645
963	1.816860031
964	1.815882414
965	1.815032969
966	1.814498164
967	1.813765484
968	1.812261205
969	1.811305384
970	1.809884653
971	1.80892394
972	1.808476691
973	1.806922753
974	1.80621466
975	1.805775844
976	1.804549188
977	1.803250548
978	1.802195156
979	1.800284483
980	1.800002147
981	1.799452919
982	1.79893016
983	1.797813299
984	1.796693686
985	1.796241638
986	1.795543911
987	1.795078656
988	1.794536806
989	1.79425173
990	1.793211137
991	1.792386056
992	1.791729063
993	1.791054115
994	1.790942302
995	1.789178092
996	1.788159786
997	1.787704435
998	1.787434963
999	1.786145165
